"Refid","Author","Title","Year","User","Level","Subsection Title","Experimental outcome addressed in experiment/assay.","Is the experiment/assay of sufficient quality?","If “No”; Which domain(s) of study quality failed? -> Exposure Assessment or Assignment","If “No”; Which domain(s) of study quality failed? -> Outcome Assessment/Evaluation","If “No”; Which domain(s) of study quality failed? -> Study Design","Rationale for study quality judgement.","Animal Type -> Mouse","Animal Type -> Rat","Rat -> Long-Evans","Rat -> Sprague Dawley","Rat -> Wistar","Rat -> Not Specified","Mouse -> CD1","Mouse -> C57BL/6","Mouse -> ICR","Mouse -> Agouti","Mouse -> Not Specified","Mouse -> CBA/CaJ","Mouse -> Tg-SWDI","Mouse -> Kunming","Groups, Sex, and Number of Animals Reported","Form of Pb","Exposure Route -> Oral, diet","Exposure Route -> Oral, drinking water","Exposure Route -> Oral, gavage","Exposure Route -> Oral, lactation","Exposure Route -> Inhalation","Exposure Route -> In utero","Is this a developmental exposure?","What stage of development was assessed? Select all that apply. -> Preconception","What stage of development was assessed? Select all that apply. -> Prenatal","What stage of development was assessed? Select all that apply. -> Postnatal","What stage of development was assessed? Select all that apply. -> Juvenile/Adolescent","What stage of development was assessed? Select all that apply. -> Continued to Adult","What stage of development was assessed? Select all that apply. -> Multigenerational","Start and end day of exposure","Exposure Duration -> Short-Term (less than or equal to 30 days)","Exposure Duration -> Short-Term (less than or equal to 30 days) (COMMENT)","Exposure Duration -> Long-Term (greater than 30 days)","Exposure Duration -> Long-Term (greater than 30 days) (COMMENT)","Exposure Design Notes","Time of Outcome Assessment
Report day(s) outcome was assessed (e.g., PND 21, 28, 35).","Blood Lead Level - Reported Units","Blood Lead Level- Converted to ug/dL","Does this study involve an at-risk population?","Additional Notes"
5003332,"Zhao, Z. H., Zheng, G., Wang, T., Du, K. J., Han, X., Luo, W. J., Shen, X. F., Chen, J. Y.","Low-level Gestational Lead Exposure Alters Dendritic Spine Plasticity in the Hippocampus and Reduces Learning and Memory in Rats",2018,carlson.laura@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n=8
0.005% solution , M, n = 8
0.01% solution, M, n = 8
0.02% solution, M, n = 8","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -14 to PND 10",,,"Long-Term (greater than 30 days)",45,"Female rats were exposed 2 weeks prior to mating, throughout pregnancy, and stopped at PND 10. Animals were tested at PND 30.","PND 30","PND 0:
1.9 ug/dL for Control
 17.9 ug/dL for 0.005% solution
23.2 ug/dL for 0.01% solution
 48.8 ug/dL for 0.02% solution

PND 3:
1.9 ug/dL for Control
 6.7 ug/dL for 0.005% solution
11.5 ug/dL for 0.01% solution
23.1 ug/dL for 0.02% solution

PND 7:
1.3 ug/dL for Control
 8.1 ug/dL for 0.005% solution
 12.3 ug/dL for 0.01 % solution
18.7 ug/dL for 0.02% solution

PND 10:
1.2 ug/dL for Control
5.6 ug/dL for 0.005% solution
7.0 ug/dL for 0.01% solution
12.3 ug/dL for 0.02% solution

PND 14:
0.7 ug/dL for Control
4.0 ug/dL for 0.005% solution
5.5 ug/dL for 0.01% solution
8.9 ug/dL for 0.02% solution

PND 21:
1.1 ug/dL for Control
2.5 ug/dL for 0.005% solution
 2.5 ug/dL for 0.01% solution 
2.98 ug/dL for 0.02% solution

PND 30: 
1.5 ug/dL for Control
1.0 ug/dL for 0.005% solution
1.5 ug/dL for 0.01% solution
1.5 ug/dL for 0.02% solution","PND 0:
1.9 ug/dL for Control
 17.9 ug/dL for 0.005% solution
23.2 ug/dL for 0.01% solution
 48.8 ug/dL for 0.02% solution

PND 3:
1.9 ug/dL for Control
 6.7 ug/dL for 0.005% solution
11.5 ug/dL for 0.01% solution
23.1 ug/dL for 0.02% solution

PND 7:
1.3 ug/dL for Control
 8.1 ug/dL for 0.005% solution
 12.3 ug/dL for 0.01 % solution
18.7 ug/dL for 0.02% solution

PND 10:
1.2 ug/dL for Control
5.6 ug/dL for 0.005% solution
7.0 ug/dL for 0.01% solution
12.3 ug/dL for 0.02% solution

PND 14:
0.7 ug/dL for Control
4.0 ug/dL for 0.005% solution
5.5 ug/dL for 0.01% solution
8.9 ug/dL for 0.02% solution

PND 21:
1.1 ug/dL for Control
2.5 ug/dL for 0.005% solution
 2.5 ug/dL for 0.01% solution 
2.98 ug/dL for 0.02% solution

PND 30: 
1.5 ug/dL for Control
1.0 ug/dL for 0.005% solution
1.5 ug/dL for 0.01% solution
1.5 ug/dL for 0.02% solution",Yes,"includes temporality of blood lead measurements"
5003332,"Zhao, Z. H., Zheng, G., Wang, T., Du, K. J., Han, X., Luo, W. J., Shen, X. F., Chen, J. Y.","Low-level Gestational Lead Exposure Alters Dendritic Spine Plasticity in the Hippocampus and Reduces Learning and Memory in Rats",2018,carlson.laura@epa.gov,2,"Brain Structure and Function",Electrophysiology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n = 8
0.005% solution, M, n = 8
0.01% solution, M, n = 8
0.02% solution, M, n = 8","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -14 to PND 10",,,"Long-Term (greater than 30 days)",45,"Female rats were exposed 2 weeks prior to mating, throughout pregnancy, and stopped at PND 10. Animals were tested at PND 30.","PND 30","PND 0:
1.9 ug/dL for Control
 17.9 ug/dL for 0.005% solution
23.2 ug/dL for 0.01% solution
 48.8 ug/dL for 0.02% solution

PND 3:
1.9 ug/dL for Control
 6.7 ug/dL for 0.005% solution
11.5 ug/dL for 0.01% solution
23.1 ug/dL for 0.02% solution

PND 7:
1.3 ug/dL for Control
 8.1 ug/dL for 0.005% solution
 12.3 ug/dL for 0.01 % solution
18.7 ug/dL for 0.02% solution

PND 10:
1.2 ug/dL for Control
5.6 ug/dL for 0.005% solution
7.0 ug/dL for 0.01% solution
12.3 ug/dL for 0.02% solution

PND 14:
0.7 ug/dL for Control
4.0 ug/dL for 0.005% solution
5.5 ug/dL for 0.01% solution
8.9 ug/dL for 0.02% solution

PND 21:
1.1 ug/dL for Control
2.5 ug/dL for 0.005% solution
 2.5 ug/dL for 0.01% solution 
2.98 ug/dL for 0.02% solution

PND 30: 
1.5 ug/dL for Control
1.0 ug/dL for 0.005% solution
1.5 ug/dL for 0.01% solution
1.5 ug/dL for 0.02% solution","PND 0:
1.9 ug/dL for Control
 17.9 ug/dL for 0.005% solution
23.2 ug/dL for 0.01% solution
 48.8 ug/dL for 0.02% solution

PND 3:
1.9 ug/dL for Control
 6.7 ug/dL for 0.005% solution
11.5 ug/dL for 0.01% solution
23.1 ug/dL for 0.02% solution

PND 7:
1.3 ug/dL for Control
 8.1 ug/dL for 0.005% solution
 12.3 ug/dL for 0.01 % solution
18.7 ug/dL for 0.02% solution

PND 10:
1.2 ug/dL for Control
5.6 ug/dL for 0.005% solution
7.0 ug/dL for 0.01% solution
12.3 ug/dL for 0.02% solution

PND 14:
0.7 ug/dL for Control
4.0 ug/dL for 0.005% solution
5.5 ug/dL for 0.01% solution
8.9 ug/dL for 0.02% solution

PND 21:
1.1 ug/dL for Control
2.5 ug/dL for 0.005% solution
 2.5 ug/dL for 0.01% solution 
2.98 ug/dL for 0.02% solution

PND 30: 
1.5 ug/dL for Control
1.0 ug/dL for 0.005% solution
1.5 ug/dL for 0.01% solution
1.5 ug/dL for 0.02% solution",Yes,"includes temporality of blood lead measurements"
5003332,"Zhao, Z. H., Zheng, G., Wang, T., Du, K. J., Han, X., Luo, W. J., Shen, X. F., Chen, J. Y.","Low-level Gestational Lead Exposure Alters Dendritic Spine Plasticity in the Hippocampus and Reduces Learning and Memory in Rats",2018,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n = 8
0.005% solution, M, n = 8
0.01% solution, M, n = 8
0.02% solution, M, n = 8","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -14 to PND 10",,,"Long-Term (greater than 30 days)",45,"Female rats were exposed 2 weeks prior to mating, throughout pregnancy, and stopped at PND 10. Animals were tested at PND 30.","PND 30","PND 0:
1.9 ug/dL for Control
 17.9 ug/dL for 0.005% solution
23.2 ug/dL for 0.01% solution
 48.8 ug/dL for 0.02% solution

PND 3:
1.9 ug/dL for Control
 6.7 ug/dL for 0.005% solution
11.5 ug/dL for 0.01% solution
23.1 ug/dL for 0.02% solution

PND 7:
1.3 ug/dL for Control
 8.1 ug/dL for 0.005% solution
 12.3 ug/dL for 0.01 % solution
18.7 ug/dL for 0.02% solution

PND 10:
1.2 ug/dL for Control
5.6 ug/dL for 0.005% solution
7.0 ug/dL for 0.01% solution
12.3 ug/dL for 0.02% solution

PND 14:
0.7 ug/dL for Control
4.0 ug/dL for 0.005% solution
5.5 ug/dL for 0.01% solution
8.9 ug/dL for 0.02% solution

PND 21:
1.1 ug/dL for Control
2.5 ug/dL for 0.005% solution
 2.5 ug/dL for 0.01% solution 
2.98 ug/dL for 0.02% solution

PND 30: 
1.5 ug/dL for Control
1.0 ug/dL for 0.005% solution
1.5 ug/dL for 0.01% solution
1.5 ug/dL for 0.02% solution","PND 0:
1.9 ug/dL for Control
 17.9 ug/dL for 0.005% solution
23.2 ug/dL for 0.01% solution
 48.8 ug/dL for 0.02% solution

PND 3:
1.9 ug/dL for Control
 6.7 ug/dL for 0.005% solution
11.5 ug/dL for 0.01% solution
23.1 ug/dL for 0.02% solution

PND 7:
1.3 ug/dL for Control
 8.1 ug/dL for 0.005% solution
 12.3 ug/dL for 0.01 % solution
18.7 ug/dL for 0.02% solution

PND 10:
1.2 ug/dL for Control
5.6 ug/dL for 0.005% solution
7.0 ug/dL for 0.01% solution
12.3 ug/dL for 0.02% solution

PND 14:
0.7 ug/dL for Control
4.0 ug/dL for 0.005% solution
5.5 ug/dL for 0.01% solution
8.9 ug/dL for 0.02% solution

PND 21:
1.1 ug/dL for Control
2.5 ug/dL for 0.005% solution
 2.5 ug/dL for 0.01% solution 
2.98 ug/dL for 0.02% solution

PND 30: 
1.5 ug/dL for Control
1.0 ug/dL for 0.005% solution
1.5 ug/dL for 0.01% solution
1.5 ug/dL for 0.02% solution",Yes,"includes temporality of blood lead measurements"
5003332,"Zhao, Z. H., Zheng, G., Wang, T., Du, K. J., Han, X., Luo, W. J., Shen, X. F., Chen, J. Y.","Low-level Gestational Lead Exposure Alters Dendritic Spine Plasticity in the Hippocampus and Reduces Learning and Memory in Rats",2018,carlson.laura@epa.gov,2,"Brain Structure and Function",Electrophysiology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (tap water), M, n = 8
0.005% solution, M, n = 8
0.01% solution, M, n = 8
0.02% solution, M, n = 8","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -14 to PND 10",,,"Long-Term (greater than 30 days)",45,"Female rats were exposed 2 weeks prior to mating, throughout pregnancy, and stopped at PND 10. Animals were tested at PND 30.","PND 30","PND 0:
1.9 ug/dL for Control
 17.9 ug/dL for 0.005% solution
23.2 ug/dL for 0.01% solution
 48.8 ug/dL for 0.02% solution

PND 3:
1.9 ug/dL for Control
 6.7 ug/dL for 0.005% solution
11.5 ug/dL for 0.01% solution
23.1 ug/dL for 0.02% solution

PND 7:
1.3 ug/dL for Control
 8.1 ug/dL for 0.005% solution
 12.3 ug/dL for 0.01 % solution
18.7 ug/dL for 0.02% solution

PND 10:
1.2 ug/dL for Control
5.6 ug/dL for 0.005% solution
7.0 ug/dL for 0.01% solution
12.3 ug/dL for 0.02% solution

PND 14:
0.7 ug/dL for Control
4.0 ug/dL for 0.005% solution
5.5 ug/dL for 0.01% solution
8.9 ug/dL for 0.02% solution

PND 21:
1.1 ug/dL for Control
2.5 ug/dL for 0.005% solution
 2.5 ug/dL for 0.01% solution 
2.98 ug/dL for 0.02% solution

PND 30: 
1.5 ug/dL for Control
1.0 ug/dL for 0.005% solution
1.5 ug/dL for 0.01% solution
1.5 ug/dL for 0.02% solution","PND 0:
1.9 ug/dL for Control
 17.9 ug/dL for 0.005% solution
23.2 ug/dL for 0.01% solution
 48.8 ug/dL for 0.02% solution

PND 3:
1.9 ug/dL for Control
 6.7 ug/dL for 0.005% solution
11.5 ug/dL for 0.01% solution
23.1 ug/dL for 0.02% solution

PND 7:
1.3 ug/dL for Control
 8.1 ug/dL for 0.005% solution
 12.3 ug/dL for 0.01 % solution
18.7 ug/dL for 0.02% solution

PND 10:
1.2 ug/dL for Control
5.6 ug/dL for 0.005% solution
7.0 ug/dL for 0.01% solution
12.3 ug/dL for 0.02% solution

PND 14:
0.7 ug/dL for Control
4.0 ug/dL for 0.005% solution
5.5 ug/dL for 0.01% solution
8.9 ug/dL for 0.02% solution

PND 21:
1.1 ug/dL for Control
2.5 ug/dL for 0.005% solution
 2.5 ug/dL for 0.01% solution 
2.98 ug/dL for 0.02% solution

PND 30: 
1.5 ug/dL for Control
1.0 ug/dL for 0.005% solution
1.5 ug/dL for 0.01% solution
1.5 ug/dL for 0.02% solution",Yes,"includes temporality of blood lead measurements"
5115271,"Carlson, K., Schacht, J., Neitzel, R. L.","Assessing ototoxicity due to chronic lead and cadmium intake with and without noise exposure in the mature mouse",2018,Hester.Kirstin@epa.gov,2,"Sensory Organ Function","Auditory threshold (via BAEP)",Yes,,,,,Mouse,,,,,,,,,,,CBA/CaJ,,,"Control (deionized water), M, n = 16
0.03 mM, M, n = 8","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"5 wk to 16 wk",,,"Long-Term (greater than 30 days)",77,"Authors tested multiple other treatment conditions that are not relevant to the ISA.","16 wk","16 wk:
<LOD for Control
2.89 ug/dL for 0.03 mM",,No,"Mice were treated with cadmium in drinking water concurrently with Pb (300 uM Cd + 3 mM Pb). This Pb treatment condition resulted in BLL's >30 ug/dL. Co-treatment did not alter the auditory threshold results (NS)."
5434477,"Neuwirth, L. S., Kim, Y., Barrerra, E. D., Jo, C., Chrisphonte, J. M., Hameed, N., Rubi, S., Dacius, T. F., Skeen, J. C., Bonitto, J. R., Khairi, E., Iqbal, A., Ahmed, I., Masood, S., Tranquilee, B., Thiruverkadu, V.","Early Neurodevelopmental Exposure to Low Lead Levels Induces Fronto-executive Dysfunctions That Are Recovered by Taurine Co-treatment in the Rat Attention Set-Shift Test: Implications for Taurine as a Psychopharmacotherapy Against Neurotoxicants",2019,Hester.Kirstin@epa.gov,2,"Cognitive Function","Attention Set-Shifting Test",Yes,,,,,,Rat,Long-Evans,,,,,,,,,,,,"Control (tap water), M/F, n = 12 (6/6)
363.83 uM solution, M/F, n = 12 (6/6)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 22",,,"Long-Term (greater than 30 days)",44,"Authors' report that dams were exposed from pairing through PND 22, but provide no additional information about when exposure started. It is unclear if intra-litter correlation was controlled for.","PND 56-90","PND 22:
NR for Control
5.3-15 ug/dL for 364 uM solution

PND 56-90:
ND for Control,
ND for 364 uM",,Yes,"Results for males and females were reported separately. Outcome assessment was conducted over four days, but a large date range was reported (staggered testing?)."
5434510,"Neuwirth, L. S., Masood, S., Anderson, D. W., Schneider, J. S.","The attention set-shifting test is sensitive for revealing sex-based impairments in executive functions following developmental lead exposure in rats",2019,Hester.Kirstin@epa.gov,2,"Cognitive Function","Attention Set-Shifting Test",Yes,,,,,,Rat,Long-Evans,,,,,,,,,,,,"Control, M/F, n = 12 (6/6)
150 ppm Pb-chow (PERI), M/F, n = 12 (6/6)
150 ppm Pb-chow (EPN), M/F, n = 12 (6/6)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"PERI: GD -14 to PND 22
EPN: PND 0 to PND 22","Short-Term (less than or equal to 30 days)",22,"Long-Term (greater than 30 days)",58,"The PERI group was subjected to a long-term exposure, while the EPN group was subjected to a short-term exposure. For BLLs, n = 4 for males, and n = 5 for females.",NR,"PND 14 - Females:
<LOD for Control
4.38 ug/dL for 150 ppm PERI
5.38 ug/dL for 150 ppm EPN

PND 14 - Males:
<LOD for Control
5.65 ug/dL for 150 ppm PERI
5.95 ug/dL for 150 ppm EPN","PND 14 - Females:
<LOD for Control
4.38 ug/dL for 150 ppm PERI
5.38 ug/dL for 150 ppm EPN

PND 14 - Males:
<LOD for Control
5.65 ug/dL for 150 ppm PERI
5.95 ug/dL for 150 ppm EPN",Yes,"Study evaluates lifestage as a modifying factor (gestational+postnatal vs. postnatal-only). 
ASST endpoints include: simple discrimination, complex discrimination, complex discrimination reversal, complex discrimination reversal reacquisition, intradimensional shift,  intradimensional shift reversal,  intradimensional shift reacqusition, extradimentional shift, extradimensional shift reversal"
5434554,"Dominguez, S., Flores-Montoya, M. G., Sobin, C.","Early chronic exposure to low-level lead alters total hippocampal microglia in pre-adolescent mice",2019,Hester.Kirstin@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (tap water), M/F, n = 10 (7/3)
30 ppm, M/F, n = 10 (6/4)
330 ppm, M/F, n = 10 (4/6)","Pb acetate",,,,"Oral, lactation",,,Yes,,,Postnatal,Juvenile/Adolescent,,,"PND 0 to PND 28","Short-Term (less than or equal to 30 days)",28,,,"Number of dams used was not reported (i.e., it is unclear if groups were composed of animals from multiple dams or intra-litter effects were considered). Authors' state that animals were exposed through the dams, but do not clarify if they were switched to drinking water from PND 21 to 28.","PND 28","PND 28 - Females:
0.02 ug/dL for Control
3.03 ug/dL for 30 ppm
12.79 ug/dL for 330 ppm

PND 28 - Males:
0.03 ug/dL for Control
3.68 ug/dL for 30 ppm
15.42 ug/dL for 330 ppm","PND 28 - Females:
0.02 ug/dL for Control
3.03 ug/dL for 30 ppm
12.79 ug/dL for 330 ppm

PND 28 - Males:
0.03 ug/dL for Control
3.68 ug/dL for 30 ppm
15.42 ug/dL for 330 ppm",Yes,
5434771,"Flores-Montoya, M. G., Sobin, C.","Early chronic lead exposure reduces exploratory activity in young C57BL/6J mice",2015,Anderson.Timothy@epa.gov,2,"Motor Function","Open Field Test",Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (distilled water), M/F, n = 19 (8/11)
30 ppm, M/F, n = 26 (16/10)
230 ppm, M/F, n = 16 (12/4)","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,,Yes,,,Postnatal,Juvenile/Adolescent,,,"PND 0 to PND 28","Short-Term (less than or equal to 30 days)",28,,,"The authors report that exposure ceased and behavioral testing began on PND 28 but do not specify which day each test occurred or when the animals were sacrificed. Text implies that testing occurred in the four days following the end of exposure, but there may have been staggering to account for the number of animals run.","PND 28+","PND 28+ Males:
0.2 ug/dL for Control
3.93 ug/dL for 30 ppm
9.39 ug/dL for 230 ppm

PND 28+ Females:
0.19 ug/dL for Control
3.19 ug/dL for 30 ppm
12.14 ug/dL for 230 ppm","PND 28+ Males:
0.2 ug/dL for Control
3.93 ug/dL for 30 ppm
9.39 ug/dL for 230 ppm

PND 28+ Females:
0.19 ug/dL for Control
3.19 ug/dL for 30 ppm
12.14 ug/dL for 230 ppm",Yes,
5434771,"Flores-Montoya, M. G., Sobin, C.","Early chronic lead exposure reduces exploratory activity in young C57BL/6J mice",2015,Anderson.Timothy@epa.gov,2,"Motor Function","Rotarod Test",Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (distilled water), M/F, n = 19 (8/11)
30 ppm, M/F, n = 26 (16/10)
230 ppm, M/F, n = 16 (12/4)","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,,Yes,,,Postnatal,Juvenile/Adolescent,,,"PND 0 to PND 28","Short-Term (less than or equal to 30 days)",28,,,"The authors report that exposure ceased and behavioral testing began on PND 28 but do not specify which day each test occurred or when the animals were sacrificed. Text implies that testing occurred in the four days following the end of exposure, but there may have been staggering to account for the number of animals run.","PND 28+","PND 28+ Males:
0.2 ug/dL for Control
3.93 ug/dL for 30 ppm
9.39 ug/dL for 230 ppm

PND 28+ Females:
0.19 ug/dL for Control
3.19 ug/dL for 30 ppm
12.14 ug/dL for 230 ppm","PND 28+ Males:
0.2 ug/dL for Control
3.93 ug/dL for 30 ppm
9.39 ug/dL for 230 ppm

PND 28+ Females:
0.19 ug/dL for Control
3.19 ug/dL for 30 ppm
12.14 ug/dL for 230 ppm",Yes,
5434771,"Flores-Montoya, M. G., Sobin, C.","Early chronic lead exposure reduces exploratory activity in young C57BL/6J mice",2015,Anderson.Timothy@epa.gov,2,"Internalizing Behaviors","Hole Board Test",Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (distilled water), M/F, n = 19 (8/11)
30 ppm, M/F, n = 26 (16/10)
230 ppm, M/F, n = 16 (12/4)","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,,Yes,,,Postnatal,Juvenile/Adolescent,,,"PND 0 to PND 28","Short-Term (less than or equal to 30 days)",28,,,"The authors report that exposure ceased and behavioral testing began on PND 28 but do not specify which day each test occurred or when the animals were sacrificed. Text implies that testing occurred in the four days following the end of exposure, but there may have been staggering to account for the number of animals run.","PND 28+","PND 28+ Males:
0.2 ug/dL for Control
3.93 ug/dL for 30 ppm
9.39 ug/dL for 230 ppm

PND 28+ Females:
0.19 ug/dL for Control
3.19 ug/dL for 30 ppm
12.14 ug/dL for 230 ppm","PND 28+ Males:
0.2 ug/dL for Control
3.93 ug/dL for 30 ppm
9.39 ug/dL for 230 ppm

PND 28+ Females:
0.19 ug/dL for Control
3.19 ug/dL for 30 ppm
12.14 ug/dL for 230 ppm",Yes,
5437403,"Neuwirth, L. S., Emenike, B. U., Barrera, E. D., Hameed, N., Rubi, S., Dacius, T. F., Skeen, J. C., Bonitto, J. R., Khairi, E., Iqbal, A., Ahmed, I., Jose, T. J., Lynch, K., Khan, M., Alvira, A. L., Mathew, N., Kaur, S., Masood, S., Tranquilee, B., Thiruverkadu, V.","Assessing the Anxiolytic Properties of Taurine-Derived Compounds in Rats Following Developmental Lead Exposure: A Neurodevelopmental and Behavioral Pharmacological Pilot Study",2019,Hester.Kirstin@epa.gov,2,"Motor Function","Open Field Test",Yes,,,,,,Rat,Long-Evans,,,,,,,,,,,,"Control (tap water), M/F, n = 48 (30/18)
150 ppm, M/F, n = 62 (32/30)
1000 ppm, M/F, n = 49 (30/19)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 22",,,"Long-Term (greater than 30 days)",44,"Authors' report that dams were exposed from pairing to weaning of pups, but do not state exactly when exposure started.","PND 36-45","PND 22:
<LOD for Control
3.3-10.7 ug/dL for 150 ppm
9.0-17.8 ug/dL for 1000 ppm

PND 55:
<LOD for Control
 <LOD for 150 ppm
<LOD for 1000 ppm","PND 22:
<LOD for Control
3.3-10.7 ug/dL for 150 ppm
9.0-17.8 ug/dL for 1000 ppm

PND 55:
<LOD for Control
 <LOD for 150 ppm
<LOD for 1000 ppm",Yes,
5437403,"Neuwirth, L. S., Emenike, B. U., Barrera, E. D., Hameed, N., Rubi, S., Dacius, T. F., Skeen, J. C., Bonitto, J. R., Khairi, E., Iqbal, A., Ahmed, I., Jose, T. J., Lynch, K., Khan, M., Alvira, A. L., Mathew, N., Kaur, S., Masood, S., Tranquilee, B., Thiruverkadu, V.","Assessing the Anxiolytic Properties of Taurine-Derived Compounds in Rats Following Developmental Lead Exposure: A Neurodevelopmental and Behavioral Pharmacological Pilot Study",2019,Hester.Kirstin@epa.gov,2,"Internalizing Behaviors","Elevated Plus Maze",Yes,,,,,,Rat,Long-Evans,,,,,,,,,,,,"Control (tap water), M/F, n = NR
150 ppm, M/F, n = NR
1000 ppm, M/F, n = NR","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 22",,,"Long-Term (greater than 30 days)",44,"Authors' report that dams were exposed from pairing to weaning of pups, but do not state exactly when exposure started.

Before EPM, taurine or a derivative was given to animals. Animals in the control groups for the second treatment total 31, but the number of animals belonging to each subgroup (e.g., Control/Control, Pb-150/Control) is not reported.","PND 37-46","PND 22:
<LOD for Control
3.3-10.7 ug/dL for 150 ppm
9.0-17.8 ug/dL for 1000 ppm

PND 55:
<LOD for Control
 <LOD for 150 ppm
<LOD for 1000 ppm","PND 22:
<LOD for Control
3.3-10.7 ug/dL for 150 ppm
9.0-17.8 ug/dL for 1000 ppm

PND 55:
<LOD for Control
 <LOD for 150 ppm
<LOD for 1000 ppm",Yes,"EPM was conducted 24 hours after open field test for each animal."
5437473,"Du, Y., Ge, M. M., Xue, W., Yang, Q. Q., Wang, S., Xu, Y., Wang, H. L.","Chronic Lead Exposure and Mixed Factors of Gender×Age×Brain Regions Interactions on Dendrite Growth, Spine Maturity and NDR Kinase",2015,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (distilled water), M/F, n = 8
250 ppm, M/F, n = 8","Pb acetate",,"Oral, drinking water",,"Oral, lactation",,,Yes,,,Postnatal,Juvenile/Adolescent,,,"PND 0 to PND 90",,,"Long-Term (greater than 30 days)",90,"Dams were dosed with Pb beginning at birth, from PND 0 to PND 21 pups received Pb indirectly through milk. At weaning on PND 21, pups were then dosed directly with drinking water until PND 90. Some endpoints were assessed along the way, at PND 30, PND 60, and PND 90.","PND 30, 60, 90","PND 30:
13.9 ug/L (1.4 ug/dL) for Control
205.6 ug/L (20.6 ug/dL) for 250 ppm

PND 60:
15.0 ug/L (1.5 ug/dL) for Control
321.9 ug/L (32.2 ug/dL) for 250 ppm

PND 90:
11.8 ug/L (1.2 ug/dL) for Control
379.2 ug/L (37.9 ug/dL) for 250ppm","PND 30:
1.4 ug/dL for Control
20.6 ug/dL for 250 ppm

PND 60:
1.5 ug/dL for Control
32.2 ug/dL for 250 ppm

PND 90:
1.2 ug/dL for Control
37.9 ug/dL for 250ppm",Yes,"This study looks at protein expression levels and brain neuron morphology temporally as rats age from PND 30 to PND 90"
5437575,"Mansouri, M. T., Naghizadeh, B., López-Larrubia, P., Cauli, O.","Behavioral deficits induced by lead exposure are accompanied by serotonergic and cholinergic alterations in the prefrontal cortex",2013,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water or water+NaAc), M/F, n = 16 (8/8)
50 ppm, M/F, n = 16 (8/8)","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"PND 55 to PND 181",,,"Long-Term (greater than 30 days)",126,"Data from tap water and NaAc control groups were first analyzed separately and no significant differences were found. The data from these groups was pooled as a single control group for the results.","PND 163-167 or PND 169-173","PND 178-181 - Females: 
NR for Control
10.6 ug/dL for 50 ppm

PND 178-181 - Males: 
NR for Control
18.9 ug/dL for 50 ppm","PND 178-181 - Females: 
NR for Control
10.6 ug/dL for 50 ppm

PND 178-181 - Males: 
NR for Control
18.9 ug/dL for 50 ppm",No,
