Refid,Author,Title,Year,User,Level,Subsection Title,Experimental outcome addressed in experiment/assay.,Is the experiment/assay of sufficient quality?,Animal Type -> Rat,Rat -> Sprague Dawley,Rat -> Wistar,"Groups, Sex, and Number of Animals Reported",Form of Pb,"Exposure Route -> Oral, drinking water","Exposure Route -> Oral, lactation",Is this a developmental exposure?,What stage of development was assessed? Select all that apply. -> Prenatal,What stage of development was assessed? Select all that apply. -> Postnatal,What stage of development was assessed? Select all that apply. -> Juvenile/Adolescent,What stage of development was assessed? Select all that apply. -> Continued to Adult,Start and end day of exposure,Exposure Duration -> Short-Term (less than or equal to 30 days),Exposure Duration -> Short-Term (less than or equal to 30 days) (COMMENT),Exposure Duration -> Long-Term (greater than 30 days),Exposure Duration -> Long-Term (greater than 30 days) (COMMENT),Exposure Design Notes,"Time of Outcome Assessment
Report day(s) outcome was assessed (e.g., PND 21, 28, 35).",Blood Lead Level - Reported Units,Blood Lead Level- Converted to ug/dL,Does this study involve an at-risk population?,Additional Notes
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,stewart.michael@epa.gov,2,Blood Pressure,Systolic Blood Pressure,Yes,Rat,,Wistar,"Vehicle, M/F, n=8  
0.2% lead acetate, intermittent lead group, M/F, n=9 
0.2% lead acetate, permanent lead group, M/F, n=9",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,Juvenile/Adolescent,,prenatal to 28 wk,Short-Term (less than or equal to 30 days),,,,"Pregnant Wistar rats were given 0.2% Pb acetate in drinking water or tap water.  After a 21 day weaning period, pups were either continuously exposed to lead acetate in drinking water until 28 weeks or were given 8 weeks of lead abstinence and then exposed until 28 weeks with lead acetate",28 weeks,24.4 +/- 4.9 ug/dl for continuously exposed18.8 +/- 2.0 ug/dl for intermittent exposure,,Yes,
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,stewart.michael@epa.gov,2,"HRV, HR",Heart Rate,Yes,Rat,,Wistar,"Vehicle, M/F, n=8  
0.2% lead acetate, intermittent lead group, M/F, n=9 
0.2% lead acetate, permanent lead group, M/F, n=9",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,Juvenile/Adolescent,,prenatal to 28 wk,Short-Term (less than or equal to 30 days),,,,"Pregnant Wistar rats were given 0.2% Pb acetate in drinking water or tap water.  After a 21 day weaning period, pups were either continuously exposed to lead acetate in drinking water until 28 weeks or were given 8 weeks of lead abstinence and then exposed until 28 weeks with lead acetate",28 weeks,"24.4 +/- 4.9 ug/dl for continuously exposed
18.8 +/- 2.0 ug/dl for intermittent exposure",,Yes,
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,stewart.michael@epa.gov,2,"HRV, HR",HF,Yes,Rat,,Wistar,"Vehicle, M/F, n=8  
0.2% lead acetate, intermittent lead group, M/F, n=9 
0.2% lead acetate, permanent lead group, M/F, n=9",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,Juvenile/Adolescent,,prenatal to 28 wk,Short-Term (less than or equal to 30 days),,,,"Pregnant Wistar rats were given 0.2% Pb acetate in drinking water or tap water.  After a 21 day weaning period, pups were either continuously exposed to lead acetate in drinking water until 28 weeks or were given 8 weeks of lead abstinence and then exposed until 28 weeks with lead acetate",28 weeks,"24.4 +/- 4.9 ug/dl for continuously exposed
18.8 +/- 2.0 ug/dl for intermittent exposure",,Yes,
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,stewart.michael@epa.gov,2,"HRV, HR",LF,Yes,Rat,,Wistar,"Vehicle, M/F, n=8  
0.2% lead acetate, intermittent lead group, M/F, n=9 
0.2% lead acetate, permanent lead group, M/F, n=9",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,Juvenile/Adolescent,,prenatal to 28 wk,Short-Term (less than or equal to 30 days),,,,"Pregnant Wistar rats were given 0.2% Pb acetate in drinking water or tap water.  After a 21 day weaning period, pups were either continuously exposed to lead acetate in drinking water until 28 weeks or were given 8 weeks of lead abstinence and then exposed until 28 weeks with lead acetate",28 weeks,"24.4 +/- 4.9 ug/dl for continuously exposed
18.8 +/- 2.0 ug/dl for intermittent exposure",,Yes,
4985191,"Shvachiy, L., Geraldes, V., Amaro-Leal, Â., Rocha, I.","Intermittent low-level lead exposure provokes anxiety, hypertension, autonomic dysfunction and neuroinflammation",2018,stewart.michael@epa.gov,2,"HRV, HR",LF/HF,Yes,Rat,,Wistar,"Vehicle, M/F, n=8  
0.2% lead acetate, intermittent lead group, M/F, n=9 
0.2% lead acetate, permanent lead group, M/F, n=9",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,Juvenile/Adolescent,,prenatal to 28 wk,Short-Term (less than or equal to 30 days),,,,"Pregnant Wistar rats were given 0.2% Pb acetate in drinking water or tap water.  After a 21 day weaning period, pups were either continuously exposed to lead acetate in drinking water until 28 weeks or were given 8 weeks of lead abstinence and then exposed until 28 weeks with lead acetate",28 weeks,"24.4 +/- 4.9 ug/dl for continuously exposed
18.8 +/- 2.0 ug/dl for intermittent exposure",,Yes,
6716370,"Zhu, G., Chen, Z., Dai, B., Zheng, C., Jiang, H., Xu, Y., Sheng, X., Guo, J., Dan, Y., Liang, S., Li, G.",Chronic lead exposure enhances the sympathoexcitatory response associated with P2X4 receptor in rat stellate ganglia,2018,stewart.michael@epa.gov,2,Blood Pressure,Systolic Blood Pressure,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10",Pb acetate,"Oral, drinking water","Oral, lactation","No, adult only",,,,,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 2000 mg/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 2000 mg/L  Pb acetate for one year,post 1-year exposure,0.28 +/- .02 mg/L,28 +/- 2 ug/dl,No,
6716370,"Zhu, G., Chen, Z., Dai, B., Zheng, C., Jiang, H., Xu, Y., Sheng, X., Guo, J., Dan, Y., Liang, S., Li, G.",Chronic lead exposure enhances the sympathoexcitatory response associated with P2X4 receptor in rat stellate ganglia,2018,stewart.michael@epa.gov,2,Blood Pressure,Diastolic Blood Pressure,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10",Pb acetate,"Oral, drinking water","Oral, lactation","No, adult only",,,,,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 2000 mg/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 2000 mg/L  Pb acetate for one year,post 1-year exposure,0.28 +/- .02 mg/L,28 +/- 2 ug/dl,No,
6716370,"Zhu, G., Chen, Z., Dai, B., Zheng, C., Jiang, H., Xu, Y., Sheng, X., Guo, J., Dan, Y., Liang, S., Li, G.",Chronic lead exposure enhances the sympathoexcitatory response associated with P2X4 receptor in rat stellate ganglia,2018,stewart.michael@epa.gov,2,"HRV, HR",Heart Rate,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10 M, n=100.5 g/L Pb acetate, M, n=10",Pb acetate,"Oral, drinking water","Oral, lactation","No, adult only",,,,,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 2000 mg/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 2000 mg/L  Pb acetate for one year,post 1-year exposure,0.28 +/- .02 mg/L,28 +/- 2 ug/dl,No,
6716370,"Zhu, G., Chen, Z., Dai, B., Zheng, C., Jiang, H., Xu, Y., Sheng, X., Guo, J., Dan, Y., Liang, S., Li, G.",Chronic lead exposure enhances the sympathoexcitatory response associated with P2X4 receptor in rat stellate ganglia,2018,stewart.michael@epa.gov,2,"HRV, HR",HF,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10",Pb acetate,"Oral, drinking water","Oral, lactation","No, adult only",,,,,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 2000 mg/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 2000 mg/L  Pb acetate for one year,post 1-year exposure,0.28 +/- .02 mg/L,28 +/- 2 ug/dl,No,
6716370,"Zhu, G., Chen, Z., Dai, B., Zheng, C., Jiang, H., Xu, Y., Sheng, X., Guo, J., Dan, Y., Liang, S., Li, G.",Chronic lead exposure enhances the sympathoexcitatory response associated with P2X4 receptor in rat stellate ganglia,2018,stewart.michael@epa.gov,2,"HRV, HR",LF,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10",Pb acetate,"Oral, drinking water","Oral, lactation","No, adult only",,,,,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 2000 mg/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 2000 mg/L  Pb acetate for one year,post 1-year exposure,0.28 +/- .02 mg/L,28 +/- 2 ug/dl,No,
6716370,"Zhu, G., Chen, Z., Dai, B., Zheng, C., Jiang, H., Xu, Y., Sheng, X., Guo, J., Dan, Y., Liang, S., Li, G.",Chronic lead exposure enhances the sympathoexcitatory response associated with P2X4 receptor in rat stellate ganglia,2018,stewart.michael@epa.gov,2,"HRV, HR",LF/HF,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10D",Pb acetate,"Oral, drinking water","Oral, lactation","No, adult only",,,,,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 2000 mg/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 2000 mg/L  Pb acetate for one year,post 1-year exposure,0.28 +/- .02 mg/L,28 +/- 2 ug/dl,No,
6771563,"Zhu, G., Dai, B., Chen, Z., He, L., Guo, J., Dan, Y., Liang, S., Li, G.",Effects of chronic lead exposure on the sympathoexcitatory response associated with the P2X7 receptor in rat superior cervical ganglia,2019,stewart.michael@epa.gov,2,Blood Pressure,Systolic Blood Pressure,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,,Continued to Adult,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 0.5 g/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 0.5 g/L  Pb acetate for one year,post 1-year exposure,0.27 +/- 0.02 mg/L,27 +/-  2 ug/dL,No,
6771563,"Zhu, G., Dai, B., Chen, Z., He, L., Guo, J., Dan, Y., Liang, S., Li, G.",Effects of chronic lead exposure on the sympathoexcitatory response associated with the P2X7 receptor in rat superior cervical ganglia,2019,stewart.michael@epa.gov,2,Blood Pressure,Diastolic Blood Pressure,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,,Continued to Adult,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 0.5 g/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 0.5 g/L  Pb acetate for one year,post 1-year exposure,0.27 +/- 0.02 mg/L,27 +/-  2 ug/dL,No,
6771563,"Zhu, G., Dai, B., Chen, Z., He, L., Guo, J., Dan, Y., Liang, S., Li, G.",Effects of chronic lead exposure on the sympathoexcitatory response associated with the P2X7 receptor in rat superior cervical ganglia,2019,stewart.michael@epa.gov,2,"HRV, HR",HF,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,,Continued to Adult,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 0.5 g/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 0.5 g/L  Pb acetate for one year,post 1-year exposure,0.27 +/- 0.02 mg/L,27 +/-  2 ug/dL,No,
6771563,"Zhu, G., Dai, B., Chen, Z., He, L., Guo, J., Dan, Y., Liang, S., Li, G.",Effects of chronic lead exposure on the sympathoexcitatory response associated with the P2X7 receptor in rat superior cervical ganglia,2019,stewart.michael@epa.gov,2,"HRV, HR",LF,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,,Continued to Adult,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 0.5 g/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 0.5 g/L  Pb acetate for one year,post 1-year exposure,0.27 +/- 0.02 mg/L,27 +/-  2 ug/dL,No,
6771563,"Zhu, G., Dai, B., Chen, Z., He, L., Guo, J., Dan, Y., Liang, S., Li, G.",Effects of chronic lead exposure on the sympathoexcitatory response associated with the P2X7 receptor in rat superior cervical ganglia,2019,stewart.michael@epa.gov,2,"HRV, HR",LF/HF,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,,Continued to Adult,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 0.5 g/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 0.5 g/L  Pb acetate for one year,post 1-year exposure,0.27 +/- 0.02 mg/L,27 +/-  2 ug/dL,No,
6771563,"Zhu, G., Dai, B., Chen, Z., He, L., Guo, J., Dan, Y., Liang, S., Li, G.",Effects of chronic lead exposure on the sympathoexcitatory response associated with the P2X7 receptor in rat superior cervical ganglia,2019,stewart.michael@epa.gov,2,"HRV, HR",Heart Rate,Yes,Rat,Sprague Dawley,,"Control (distilled water), M, n=100.5 g/L Pb acetate, M, n=10",Pb acetate,"Oral, drinking water","Oral, lactation",Yes,Prenatal,Postnatal,,Continued to Adult,conception to 1 year,,,Long-Term (greater than 30 days),365,Female rats were given either 0 or 0.5 g/L Pb acetate for ten days before mating.  Male offspring  continued receiving 0 or 0.5 g/L  Pb acetate for one year,post 1-year exposure,0.27 +/- 0.02 mg/L,27 +/-  2 ug/dL,No,
